oa11cd,x,y,lat,lon
E00042665,425731,564928,54.9783,-1.5995151
E00042671,425558,564791,54.977078,-1.6022301
E00042592,423584,564313,54.972879,-1.633109
E00042812,423312,563534,54.965892,-1.637421
E00042661,425561,564849,54.977599,-1.6021781
E00175561,425148,564189,54.971689,-1.6086881
E00175595,425360,564168,54.971489,-1.6053783
E00042803,422449.105,563488.58,54.965518,-1.6509035
E00042411,427473.248,565849.983,54.986483,-1.5722113
E00042490,422955.326,567535.877,55.001861,-1.642678
E00042882,422155.274,565848.747,54.986738,-1.6553139
E00042160,420866.107,573107.32,55.052023,-1.67493
E00042800,429223.592,564974.539,54.978521,-1.5449538
E00042881,421719.199,566087.447,54.988905,-1.6621092
E00042161,420856.996,572955.259,55.050657,-1.6750976
E00042801,428584.523,564835.22,54.977309,-1.554951
E00042880,422469.87,565896.364,54.987155,-1.6504034
E00042418,427022.428,566385.008,54.991324,-1.5792085
E00042499,422713.778,567184.516,54.998718,-1.6464888
E00042419,427330.538,566146.553,54.98916,-1.5744176
E00042498,423059.298,567061.785,54.997597,-1.6410902
E00042168,424383.661,570372,55.027287,-1.6201138
E00042808,422687.68,563702.927,54.96743,-1.6471695
E00042169,423781.296,570475.163,55.028241,-1.6295221
E00042888,421906.098,565844.947,54.986713,-1.6592053
E00042157,420611.339,573100.869,55.05197,-1.6789218
E00042154,423080.174,572735.571,55.048582,-1.640306
E00042155,423262.358,572599.576,55.047352,-1.6374686
E00042152,421889.08,569258.508,55.017392,-1.6592112
E00042153,423272.279,572860.762,55.049697,-1.6372909
E00042150,421262.649,569259.965,55.017428,-1.6690166
E00042151,421720.429,569303.427,55.017804,-1.6618508
E00042158,420942.793,573473.252,55.055308,-1.6737137
E00042159,421109.64,573368.084,55.054358,-1.6711073
E00042666,426458.401,565052.637,54.979376,-1.5881455
E00042106,421340.779,566432.396,54.992021,-1.6680065
E00042187,427585.955,566926.598,54.996155,-1.5703578
E00042667,426220.896,565045.54,54.979326,-1.5918646
E00042107,427131.832,564491.684,54.974299,-1.5776836
E00042186,428114.993,566929.139,54.996152,-1.5620891
E00042664,426628.537,565038.795,54.979241,-1.5854907
E00042104,421625.397,566636.338,54.993842,-1.663537
E00042185,426189.355,566895.76,54.995951,-1.5921805
E00042184,427403.447,566796.66,54.994997,-1.5732149
E00042662,426394.738,565123.878,54.980018,-1.5891389
E00042102,421012.852,566693.635,54.99438,-1.6731137
E00042183,427817.152,566897.674,54.995882,-1.5667344
E00042663,426180.231,565093.006,54.979759,-1.5924852
E00042103,421348.804,566652.719,54.993998,-1.6678652
E00042182,426344.539,566939.055,54.996339,-1.5897538
E00042100,421843.947,566493.893,54.992548,-1.6601406
E00042101,421433.134,566939.383,54.996573,-1.6665153
E00042668,426489.885,564976.303,54.978692,-1.5876682
E00042108,427091.498,564384.912,54.97334,-1.5783185
E00042189,425936.077,568270.622,55.00832,-1.5960109
E00042669,425845.7,564771.088,54.976883,-1.5977481
E00042109,427778.975,564145.226,54.971154,-1.5676096
E00042188,426901.19,566539.619,54.992715,-1.5810851
E00042656,426767.996,565315.772,54.981723,-1.5832933
E00042657,426568.133,565233.951,54.980997,-1.5864102
E00042654,426374.009,565659.999,54.984835,-1.5894023
E00042655,426013.323,565274.918,54.981394,-1.595078
E00042652,426780.071,565461.655,54.983034,-1.5830766
E00042653,425837.645,565377.252,54.982329,-1.5978187
E00042650,425704.804,565308.974,54.981716,-1.599903
E00042651,426160.641,565412.803,54.982627,-1.5927687
E00042658,426829.34,565209.454,54.980767,-1.5823344
E00042659,426683.827,565148.371,54.980227,-1.5846212
E00042606,423246.327,564920.135,54.97835,-1.6383401
E00042687,420245.572,565181.924,54.980825,-1.685208
E00042607,423324.526,564883.803,54.978013,-1.6371244
E00042686,420083.093,565175.669,54.980778,-1.6877396
E00042604,424125.046,565311.61,54.981821,-1.6245743
E00042685,419835.516,564694.791,54.976465,-1.6916476
E00042683,426164.279,565663.812,54.984882,-1.5926834
