oa11cd,x,y,lat,lon
E00041377,425583,562952,54.960551,-1.6020028
E00041435,427216.699,555732.531,54.895586,-1.5771817
E00041745,427897.004,559557.605,54.92992,-1.5661947
E00041432,427856.367,555759.595,54.895794,-1.5672007
E00041742,427932.556,559770.754,54.931832,-1.565628
E00041433,426996.973,555849.432,54.896649,-1.5806009
E00041743,428341.517,559531.016,54.929662,-1.5592689
E00041430,427040.717,556075.28,54.898678,-1.5798937
E00041740,428523.465,559955.202,54.933461,-1.556387
E00041431,426934.94,555914.454,54.897237,-1.5815615
E00041741,428285.431,559831.132,54.932361,-1.5601133
E00041978,419690.13,560540.319,54.939143,-1.6941963
E00041979,420044.578,560382.928,54.937709,-1.6886819
E00041806,429034.035,562176.919,54.95339,-1.5481887
E00041887,423869.862,560999.158,54.943086,-1.6289312
E00041438,428179.765,555071.646,54.889593,-1.5622316
E00041748,427522.104,560901.559,54.942018,-1.5719183
E00041807,428955.19,562312.422,54.954617,-1.5494085
E00041439,427950.188,555301.64,54.891673,-1.5657793
E00041749,428326.94,561091.949,54.943681,-1.5593498
E00041885,423885.192,561843.814,54.950669,-1.6286116
E00041884,423947.803,561289.844,54.945688,-1.6276896
E00041883,423403.421,561485.987,54.947475,-1.636166
E00041803,429462.238,562422.382,54.955575,-1.5414809
E00041882,424096.676,561828.043,54.950525,-1.6253186
E00041616,422668.835,561724.783,54.949657,-1.6476217
E00041697,426792.912,556464.292,54.902187,-1.5837246
E00041800,428828.604,562408.209,54.955487,-1.5513819
E00041617,422294.098,561597.761,54.948532,-1.6534706
E00041696,426875.939,556743.646,54.904689,-1.5824044
E00041801,429599.138,562610.21,54.957257,-1.5393224
E00041880,424366.724,561535.973,54.947879,-1.6211279
E00041614,423131.935,561822.562,54.950516,-1.6403853
E00041695,427040.147,556712.546,54.904402,-1.5798342
E00041615,422847.991,561625.08,54.948759,-1.6448349
E00041694,427354.098,556635.857,54.903693,-1.5749447
E00041612,422975.666,561923.364,54.951431,-1.6428129
E00041693,427166.317,556615.857,54.903523,-1.5778783
E00041610,422359.042,562053.839,54.952627,-1.6524205
E00041691,427507.518,556926.01,54.9063,-1.5725311
E00041611,422539.441,561744.834,54.949842,-1.6496342
E00041690,427470.394,558842.061,54.923519,-1.5729259
E00041889,423333.781,560904.174,54.942258,-1.6373058
E00041809,429110.339,562210.73,54.953691,-1.5469986
E00041888,424578.263,561301.896,54.945766,-1.6178382
E00170029,428021.664,556159.231,54.899379,-1.5645893
E00170026,420023.542,562265.974,54.954631,-1.6888791
E00166180,425754.475,563143.548,54.962259,-1.5993154
E00166174,426502.761,562844.411,54.959533,-1.5876612
E00166170,424632.627,562360.187,54.955279,-1.6169048
E00041618,423029.544,561499.285,54.947618,-1.6420036
E00041699,426964.787,556424.726,54.901818,-1.5810462
E00166201,425205.873,562165.281,54.953498,-1.6079747
E00041619,422679.506,561404.423,54.946781,-1.6474751
E00041698,427381.595,556443.622,54.901966,-1.5745418
E00166196,425090.834,563326.243,54.963937,-1.6096692
E00166188,426205.435,562695.344,54.95821,-1.5923127
E00170018,426721.988,558963.851,54.924647,-1.5846007
E00166192,425219.837,563462.137,54.965152,-1.6076426
E00041536,413921.421,559432.523,54.929379,-1.7842948
E00041446,417716.711,562905.242,54.960469,-1.7248623
E00042036,429363.073,560618.856,54.939371,-1.5432105
E00041537,413662.844,563526.791,54.966176,-1.7881433
E00041447,418226.854,562968.794,54.961016,-1.7168938
E00042037,429934.089,560740.858,54.940433,-1.5342856
E00041534,426383.699,559625.819,54.930613,-1.5898139
E00041444,417241.049,562616.702,54.957888,-1.7322975
E00042034,430165.653,560924.723,54.942073,-1.5306607
E00041535,426293.962,559533.378,54.929791,-1.5912268
E00041445,418101.764,563101.318,54.962216,-1.7188376
E00042035,429800.668,560833.595,54.941277,-1.5363675
E00041532,426590.786,558391.146,54.919514,-1.5866973
E00041442,427979.03,554829.249,54.88743,-1.5653728
E00042032,430001.977,561074.404,54.94343,-1.533205
E00041533,426531.161,558197.813,54.917773,-1.5876356
E00041443,418997.894,562629.684,54.957942,-1.7048755
E00042033,430367.287,561068.63,54.943354,-1.5274925
E00041530,426204.405,558456.154,54.920118,-1.5927133
E00041440,427909.366,554987.938,54.888853,-1.5664488
E00042030,429440.378,561092.749,54.943625,-1.5419603
E00041531,426672.81,558271.05,54.918431,-1.5854292
E00041441,428161.416,554815.061,54.887294,-1.5625372
E00042031,429766.239,561093.748,54.943615,-1.5368714
E00041856,425676.433,561582.385,54.948236,-1.6006725
E00041906,424333.119,562136.668,54.953281,-1.6215924
E00041987,417663.842,561994.884,54.952284,-1.7257457
E00041538,413814.698,563454.874,54.965524,-1.7857727
E00041448,418502.914,562986.253,54.961168,-1.7125824
E00041857,425521.925,561590.416,54.948315,-1.6030916
E00041907,423981.867,562239.327,54.954223,-1.6270799
E00041986,417997.242,561895.813,54.951383,-1.720537
E00042038,429542.569,560432.7,54.937689,-1.5404357
E00041539,413657.925,563310.095,54.964235,-1.7882316
E00041449,417949.353,562797.663,54.95949,-1.7212303
E00041854,424925.355,561769.858,54.949954,-1.6123808
E00041904,424048.563,562409.707,54.955748,-1.6260196
E00041985,417873.756,562212.89,54.954236,-1.7224534
E00042039,429012.043,560433.185,54.937729,-1.5487076
E00041905,424176.294,562013.307,54.952183,-1.6240541
E00041984,417322.09,562031.784,54.952628,-1.7310677
E00041852,425260.004,561919.118,54.951285,-1.6071375
E00041902,424311.898,562346.817,54.955169,-1.6219182
E00041983,418235.699,561891.561,54.951338,-1.7168213
E00041853,425051.051,561820.559,54.950406,-1.6104092
